region_bld,clim,urt,inc_cl,mat,year,value
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,sub,2015,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,sub,2020,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,sub,2025,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,sub,2030,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,sub,2035,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,sub,2040,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,sub,2045,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,sub,2050,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,sub,2055,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,sub,2060,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,sub,2065,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,sub,2070,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,sub,2075,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,sub,2080,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,sub,2085,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,sub,2090,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,sub,2095,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,sub,2100,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,perm,2015,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,perm,2020,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,perm,2025,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,perm,2030,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,perm,2035,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,perm,2040,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,perm,2045,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,perm,2050,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,perm,2055,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,perm,2060,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,perm,2065,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,perm,2070,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,perm,2075,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,perm,2080,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,perm,2085,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,perm,2090,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,perm,2095,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,perm,2100,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2015,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2020,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2025,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2030,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2035,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2040,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2045,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2050,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2055,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2060,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2065,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2070,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2075,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2080,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2085,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2090,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2095,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2100,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,perm,2015,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,perm,2020,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,perm,2025,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,perm,2030,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,perm,2035,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,perm,2040,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,perm,2045,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,perm,2050,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,perm,2055,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,perm,2060,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,perm,2065,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,perm,2070,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,perm,2075,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,perm,2080,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,perm,2085,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,perm,2090,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,perm,2095,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,perm,2100,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,sub,2015,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,sub,2020,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,sub,2025,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,sub,2030,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,sub,2035,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,sub,2040,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,sub,2045,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,sub,2050,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,sub,2055,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,sub,2060,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,sub,2065,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,sub,2070,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,sub,2075,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,sub,2080,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,sub,2085,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,sub,2090,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,sub,2095,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,sub,2100,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,perm,2015,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,perm,2020,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,perm,2025,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,perm,2030,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,perm,2035,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,perm,2040,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,perm,2045,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,perm,2050,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,perm,2055,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,perm,2060,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,perm,2065,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,perm,2070,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,perm,2075,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,perm,2080,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,perm,2085,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,perm,2090,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,perm,2095,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,perm,2100,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,sub,2015,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,sub,2020,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,sub,2025,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,sub,2030,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,sub,2035,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,sub,2040,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,sub,2045,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,sub,2050,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,sub,2055,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,sub,2060,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,sub,2065,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,sub,2070,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,sub,2075,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,sub,2080,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,sub,2085,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,sub,2090,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,sub,2095,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,sub,2100,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,perm,2015,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,perm,2020,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,perm,2025,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,perm,2030,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,perm,2035,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,perm,2040,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,perm,2045,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,perm,2050,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,perm,2055,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,perm,2060,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,perm,2065,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,perm,2070,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,perm,2075,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,perm,2080,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,perm,2085,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,perm,2090,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,perm,2095,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,perm,2100,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,sub,2015,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,sub,2020,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,sub,2025,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,sub,2030,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,sub,2035,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,sub,2040,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,sub,2045,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,sub,2050,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,sub,2055,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,sub,2060,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,sub,2065,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,sub,2070,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,sub,2075,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,sub,2080,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,sub,2085,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,sub,2090,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,sub,2095,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,sub,2100,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,perm,2015,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,perm,2020,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,perm,2025,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,perm,2030,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,perm,2035,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,perm,2040,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,perm,2045,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,perm,2050,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,perm,2055,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,perm,2060,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,perm,2065,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,perm,2070,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,perm,2075,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,perm,2080,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,perm,2085,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,perm,2090,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,perm,2095,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,perm,2100,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,sub,2015,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,sub,2020,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,sub,2025,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,sub,2030,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,sub,2035,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,sub,2040,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,sub,2045,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,sub,2050,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,sub,2055,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,sub,2060,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,sub,2065,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,sub,2070,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,sub,2075,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,sub,2080,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,sub,2085,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,sub,2090,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,sub,2095,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,sub,2100,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,perm,2015,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,perm,2020,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,perm,2025,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,perm,2030,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,perm,2035,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,perm,2040,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,perm,2045,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,perm,2050,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,perm,2055,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,perm,2060,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,perm,2065,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,perm,2070,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,perm,2075,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,perm,2080,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,perm,2085,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,perm,2090,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,perm,2095,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,perm,2100,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,sub,2015,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,sub,2020,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,sub,2025,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,sub,2030,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,sub,2035,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,sub,2040,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,sub,2045,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,sub,2050,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,sub,2055,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,sub,2060,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,sub,2065,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,sub,2070,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,sub,2075,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,sub,2080,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,sub,2085,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,sub,2090,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,sub,2095,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,sub,2100,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,perm,2015,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,perm,2020,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,perm,2025,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,perm,2030,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,perm,2035,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,perm,2040,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,perm,2045,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,perm,2050,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,perm,2055,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,perm,2060,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,perm,2065,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,perm,2070,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,perm,2075,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,perm,2080,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,perm,2085,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,perm,2090,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,perm,2095,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,perm,2100,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,sub,2015,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,sub,2020,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,sub,2025,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,sub,2030,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,sub,2035,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,sub,2040,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,sub,2045,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,sub,2050,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,sub,2055,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,sub,2060,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,sub,2065,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,sub,2070,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,sub,2075,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,sub,2080,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,sub,2085,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,sub,2090,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,sub,2095,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,sub,2100,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,perm,2015,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,perm,2020,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,perm,2025,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,perm,2030,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,perm,2035,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,perm,2040,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,perm,2045,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,perm,2050,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,perm,2055,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,perm,2060,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,perm,2065,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,perm,2070,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,perm,2075,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,perm,2080,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,perm,2085,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,perm,2090,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,perm,2095,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,perm,2100,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,sub,2015,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,sub,2020,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,sub,2025,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,sub,2030,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,sub,2035,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,sub,2040,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,sub,2045,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,sub,2050,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,sub,2055,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,sub,2060,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,sub,2065,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,sub,2070,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,sub,2075,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,sub,2080,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,sub,2085,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,sub,2090,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,sub,2095,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,sub,2100,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,perm,2015,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,perm,2020,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,perm,2025,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,perm,2030,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,perm,2035,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,perm,2040,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,perm,2045,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,perm,2050,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,perm,2055,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,perm,2060,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,perm,2065,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,perm,2070,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,perm,2075,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,perm,2080,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,perm,2085,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,perm,2090,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,perm,2095,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,perm,2100,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,sub,2015,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,sub,2020,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,sub,2025,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,sub,2030,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,sub,2035,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,sub,2040,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,sub,2045,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,sub,2050,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,sub,2055,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,sub,2060,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,sub,2065,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,sub,2070,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,sub,2075,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,sub,2080,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,sub,2085,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,sub,2090,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,sub,2095,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,sub,2100,0.0
C-EEU-CZE,Zone_5A Cool Humid,rur,q1,perm,2015,1.0
C-EEU-CZE,Zone_5A Cool Humid,rur,q1,perm,2020,1.0
C-EEU-CZE,Zone_5A Cool Humid,rur,q1,perm,2025,1.0
C-EEU-CZE,Zone_5A Cool Humid,rur,q1,perm,2030,1.0
C-EEU-CZE,Zone_5A Cool Humid,rur,q1,perm,2035,1.0
C-EEU-CZE,Zone_5A Cool Humid,rur,q1,perm,2040,1.0
C-EEU-CZE,Zone_5A Cool Humid,rur,q1,perm,2045,1.0
C-EEU-CZE,Zone_5A Cool Humid,rur,q1,perm,2050,1.0
C-EEU-CZE,Zone_5A Cool Humid,rur,q1,perm,2055,1.0
C-EEU-CZE,Zone_5A Cool Humid,rur,q1,perm,2060,1.0
C-EEU-CZE,Zone_5A Cool Humid,rur,q1,perm,2065,1.0
C-EEU-CZE,Zone_5A Cool Humid,rur,q1,perm,2070,1.0
C-EEU-CZE,Zone_5A Cool Humid,rur,q1,perm,2075,1.0
